"filename", "language", "pip requirements", "Python", "JSON", "Ini", "ui", "Qrc", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_produtos_ui.py", "Python", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 74, 306
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\produtos.ui", "ui", 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 1, 234
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\produtos_ui.py", "Python", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28, 138
"c:\Users\Pichau\Documents\Unique\desktop\window\unique.ui", "ui", 0, 0, 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 4, 418
"c:\Users\Pichau\Documents\Unique\desktop\window\unique_ui.py", "Python", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 239
"c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\components\server.py", "Python", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31, 193
"c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\form.ui", "ui", 0, 0, 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 1, 374
"c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\ui_form.py", "Python", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 104, 352
"c:\Users\Pichau\Documents\Unique\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 8, 17
"c:\Users\Pichau\Documents\Unique\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Pichau\Documents\Unique\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\Pichau\Documents\Unique\frontend\package-lock.json", "JSON", 0, 0, 3258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3259
"c:\Users\Pichau\Documents\Unique\frontend\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Pichau\Documents\Unique\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Pichau\Documents\Unique\frontend\src\api\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Carrinho.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 68, 16, 177
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Catalago.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 12, 108
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Categories.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 8, 38
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Map_produtos.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Options.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 6, 29
"c:\Users\Pichau\Documents\Unique\frontend\src\components\ProdutoData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 35, 14, 70
"c:\Users\Pichau\Documents\Unique\frontend\src\components\User.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Pichau\Documents\Unique\frontend\src\context\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\estabelecimento.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\pedidos.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\useCarrinho.js", "JavaScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 15, 89
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\useProdutos.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Pichau\Documents\Unique\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Pichau\Documents\Unique\frontend\src\pages\Finalizacao.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 0, 7, 34, 287
"c:\Users\Pichau\Documents\Unique\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 14, 4, 56
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\Carrinho.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\HomePage.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 0, 0, 2, 54, 408
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\Pedidos.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\ProdutoData.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 3, 30, 232
"c:\Users\Pichau\Documents\Unique\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Pichau\Documents\Unique\requirements.txt", "pip requirements", 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325
"Total", "-", 350, 18029, 3311, 190, 3871, 12, 176, 633, 551, 9, 17, 39, 513, 1331, 29032
