"filename", "language", "JavaScript", "JSON", "Python", "pip requirements", "XML", "Markdown", "ui", "JavaScript JSX", "PostCSS", "Qrc", "HTML", "Dotenv", "Ini", "comment", "blank", "total"
"c:\Users\Pichau\Documents\Unique\desktop\window\form_delivery\delivery.ui", "ui", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 1, 218
"c:\Users\Pichau\Documents\Unique\desktop\window\form_delivery\delivery_ui.py", "Python", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 132
"c:\Users\Pichau\Documents\Unique\desktop\window\form_estabelecimento.ui", "ui", 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 4, 216
"c:\Users\Pichau\Documents\Unique\desktop\window\form_estabelecimento_ui.py", "Python", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38, 177
"c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\mesas.ui", "ui", 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 1, 253
"c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\mesas_ui.py", "Python", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 140
"c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\pedido_mesa.ui", "ui", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 1, 165
"c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\pedido_mesa_ui.py", "Python", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 100
"c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\pedidos_delivery.ui", "ui", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\ui_pedidos_delivery.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 53
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_categorias.ui", "ui", 0, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 3, 276
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_categorias_ui.py", "Python", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 153
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_produtos.ui", "ui", 0, 0, 0, 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 1, 473
